code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
LCSW,Lecico Egypt,35.0,18,8,5,16,6,12,5,70,4.0,75.0,Strong,Enter w/ confidence,71,11.4,16.3,14.2,77.0,2,,nan,nan,nan
CLHO,Cleopatra Hospital Company,17.0,19,14,6,10,6,11,5,71,1.0,73.0,Strong,Enter w/ confidence,65,5.8,2.9,4.1,63.2,0,,nan,nan,nan
MOIL,Maridive & oil services,0.57,18,8,6,16,6,12,5,71,2.0,73.0,Strong,Enter w/ confidence,64,3.6,11.8,9.9,74.9,2,,nan,nan,nan
GDWA,Gadwa For Industrial Development,0.87,16,10,6,18,6,7,5,68,-1.0,72.0,Strong,Enter w/ confidence,40,3.6,11.5,6.8,70.9,2,,nan,nan,nan
MCQE,Misr Cement (Qena),191.99,19,11,8,13,4,7,5,67,0.0,72.0,Strong,Enter w/ confidence,53,8.5,7.9,7.4,67.7,0,,nan,nan,nan
OIH,Orascom Investment Holding SAE,1.42,10,8,11,15,9,7,4,64,4.0,71.0,Strong,Enter w/ confidence,51,0.7,0.7,0.2,50.4,0,,nan,nan,nan
ORWE,Oriental Weavers,23.2,17,14,7,9,9,7,3,66,2.0,71.0,Strong,Enter w/ confidence,65,2.4,0.8,1.3,55.1,0,,nan,nan,nan
SPIN,Alexandria Spinning & Weaving (SPINALEX),14.85,17,13,8,10,4,11,5,68,1.0,70.0,Strong,Enter w/ confidence,62,1.5,1.6,2.6,68.2,0,,nan,nan,nan
AGIG,Arab Moltaka Investments Co,10.84,18,8,8,16,6,9,5,70,-4.0,69.0,Moderate,Enter w/ caution,60,21.1,22.2,17.8,78.4,2,,nan,nan,nan
ECAP,El Ezz Porcelain (Gemma),33.47,16,12,9,9,6,8,3,63,3.0,69.0,Moderate,Enter w/ caution,57,2.4,1.4,2.6,60.7,1,,nan,nan,nan
EGSA,Egyptian Satellites (NileSat),9.1,17,11,4,15,7,9,5,68,-2.0,69.0,Moderate,Enter w/ caution,52,1.4,3.9,2.1,69.0,1,,nan,nan,nan
FERC,FERCHEM MISR CO. FOR FERTILLIZERS & CHEMICALS,82.8,19,9,7,14,4,7,5,65,-1.0,69.0,Moderate,Enter w/ caution,65,9.6,10.9,8.3,71.5,2,,nan,nan,nan
ADIB,Abu Dhabi Islamic Bank- Egypt,46.99,14,14,9,11,8,5,3,64,-1.0,68.0,Moderate,🔥 COILED: Enter w/ caution,48,1.1,-0.0,0.8,52.4,0,,nan,nan,nan
ACAMD,Arab Co. for Asset Management And Development,2.37,17,12,9,16,8,1,3,66,2.0,68.0,Moderate,Enter w/ caution,54,1.3,0.0,2.4,59.2,0,,nan,nan,nan
PHAR,Egyptian International Pharmaceuticals (EIPICO),91.05,18,9,8,15,7,8,4,69,-2.0,68.0,Moderate,Enter w/ caution,70,6.1,3.5,3.7,64.3,0,,nan,nan,nan
APSW,ARAB POLVARA SPINNING & WEAVING CO.,9.25,19,12,7,12,4,9,5,68,-4.0,67.0,Moderate,Enter w/ caution,65,8.7,8.7,7.6,71.0,1,,nan,nan,nan
EGBE,Egyptian Gulf Bank,0.48,18,13,7,8,6,10,5,67,-3.0,67.0,Moderate,Enter w/ caution,63,6.7,4.3,5.7,67.0,0,,nan,nan,nan
ZMID,Zahraa Maadi Investment & Development,7.62,18,6,5,15,6,12,5,67,0.0,67.0,Moderate,Enter w/ caution,68,5.0,12.4,10.0,74.3,2,,nan,nan,nan
ETEL,Telecom Egypt,99.84,17,11,6,15,5,6,5,65,1.0,66.0,Moderate,Enter w/ caution,63,2.9,3.5,3.4,63.3,0,,nan,nan,nan
OFH,O B Financial Holding,0.72,18,6,6,16,6,8,5,65,-1.0,65.0,Moderate,Enter w/ caution,64,14.3,14.3,11.3,79.5,2,,nan,nan,nan
ORMT,Orascom Investment Holding,1.46,14,11,12,12,4,8,5,66,-2.0,65.0,Moderate,Enter w/ caution,59,3.5,2.8,2.9,63.4,0,,nan,nan,nan
ADCI,Arab Pharmaceuticals,252.0,17,13,14,9,6,12,5,76,-13.0,64.0,Moderate,Enter w/ caution,63,6.6,6.2,6.8,73.4,0,,nan,nan,nan
TMGH,T M G Holding,101.87,17,11,6,14,6,7,5,66,-2.0,64.0,Moderate,Enter w/ caution,60,3.7,4.0,4.1,64.0,0,,nan,nan,nan
ARVA,Arab Valves Company,11.15,12,12,9,8,9,1,4,55,2.0,63.0,Moderate,Enter w/ caution,64,4.0,1.4,2.8,57.6,1,,nan,nan,nan
SDTI,Sharm Dreams Co. for Tourism Investment,48.0,18,12,11,14,6,3,4,68,-9.0,63.0,Moderate,Enter w/ caution,53,2.0,2.1,2.2,60.4,0,,nan,nan,nan
SWDY,ELSWEDY ELECTRIC,92.0,20,6,6,13,5,7,5,62,1.0,63.0,Moderate,Enter w/ caution,66,4.0,4.7,3.3,64.7,0,,nan,nan,nan
ARCC,Arabian Cement Company,56.93,12,14,12,7,6,3,4,58,-1.0,62.0,Moderate,Enter w/ caution,67,3.2,1.3,2.5,57.4,1,,nan,nan,nan
INFI,Ismailia National Food Industries,104.09,16,11,4,9,9,4,5,58,1.0,62.0,Moderate,Enter w/ caution,60,0.4,10.2,5.4,63.9,2,,nan,nan,nan
RTVC,Remco for Touristic Villages Construction,4.12,18,10,8,11,4,3,5,59,0.0,62.0,Moderate,Enter w/ caution,58,6.7,7.6,6.5,66.2,0,,nan,nan,nan
SIPC,Sabaa International Company for Pharmaceutical and Chemical,3.84,19,6,7,15,6,7,5,65,-4.0,62.0,Moderate,Enter w/ caution,68,9.1,11.3,7.6,69.8,2,,nan,nan,nan
