code,name,exchange,currency_symbol
AALR,"General Company For Land Reclamation,Development & Reconstru",EGX,EGP
ABUK,Abou Kir Fertilizers,EGX,EGP
ACAMD,Arab Co. for Asset Management And Development,EGX,EGP
ACAP,A Capital Holding,EGX,EGP
ACGC,Arab Cotton Ginning,EGX,EGP
ACRO,Acrow Misr,EGX,EGP
ACTF,Act Financial,EGX,EGP
ADCI,Arab Pharmaceuticals,EGX,EGP
ADIB,Abu Dhabi Islamic Bank- Egypt,EGX,EGP
ADPC,The Arab Dairy Products Co. Arab Dairy - Panda,EGX,EGP
AFDI,El Ahli Investment and Development,EGX,EGP
AFMC,Alexandria Flour Mills,EGX,EGP
AGIG,Arab Moltaka Investments Co,EGX,EGP
AIDC,Arabia for Investment and Development,EGX,EGP
AIND,Arabia Investments Holding,EGX,EGP
AITG,Assiut Islamic Trading,EGX,EGP
AIVCB,Al Arafa Investment And Consulting in EGP,EGX,EGP
AJWA,AJWA for Food Industries company Egypt,EGX,EGP
ALCN,Alexandria Containers and goods,EGX,EGP
ALEX,Alexandria Cement,EGX,EGP
ALRA,Atlas For Investment and Food Industries,EGX,EGP
ALUM,Arab Aluminum,EGX,EGP
AMER,Amer Group Holding,EGX,EGP
AMES,Alexandria New Medical Center,EGX,EGP
AMIA,Arab Moltaka Investments Co.,EGX,EGP
AMOC,Alexandria Mineral Oils Company,EGX,EGP
APPC,Advanced Pharmaceutical Packaging Co. (APP),EGX,EGP
APSW,ARAB POLVARA SPINNING & WEAVING CO.,EGX,EGP
ARAB,Arab Developers Holding,EGX,EGP
ARCC,Arabian Cement Company,EGX,EGP
AREH,Egyptian Real Estate Group,EGX,EGP
AREHA,Egyptian Real Estate Group Bearer Shares,EGX,EGP
ARVA,Arab Valves Company,EGX,EGP
ASCM,Asek Company for Mining - Ascom,EGX,EGP
ASPI,Aspire Capital Holding For Financial Investments,EGX,EGP
ATLC,Al Tawfeek Leasing Company-A.T.LEASE,EGX,EGP
ATQA,Misr National Steel - Ataqa,EGX,EGP
AUTO,GB Corp,EGX,EGP
AXPH,Alexandria Pharmaceuticals,EGX,EGP
BINV,B Investments Holding,EGX,EGP
BIOC,Glaxo Smith Kline,EGX,EGP
BONY,Bonyan for Development and Trade,EGX,EGP
BTFH,Beltone Holding,EGX,EGP
CAED,Cairo Educational Services,EGX,EGP
CANA,Suez Canal Bank S.A.E,EGX,EGP
